".smooth",".type",".by",".estimate",".se","log_ircw_z","timeindex","region",".lower_ci",".upper_ci"
"s(timeindex):regionbusan","TPRS","region",2.19592152043644,0.19099741275076,NA,1,"busan",1.82157347030462,2.57026957056826
"s(timeindex):regionbusan","TPRS","region",2.35438954773495,0.143726354692827,NA,1.5959595959596,"busan",2.07269106890778,2.63608802656212
"s(timeindex):regionbusan","TPRS","region",2.51075625713059,0.12041920177659,NA,2.19191919191919,"busan",2.27473895860141,2.74677355565977
"s(timeindex):regionbusan","TPRS","region",2.66189830633284,0.119807015739441,NA,2.78787878787879,"busan",2.42708087038831,2.89671574227736
"s(timeindex):regionbusan","TPRS","region",2.80297046451708,0.124981143821776,NA,3.38383838383838,"busan",2.55801192387978,3.04792900515438
"s(timeindex):regionbusan","TPRS","region",2.92785520897688,0.124836593385752,NA,3.97979797979798,"busan",2.68317998198813,3.17253043596563
"s(timeindex):regionbusan","TPRS","region",3.02974084385358,0.119570432499114,NA,4.57575757575758,"busan",2.79538710253944,3.26409458516772
"s(timeindex):regionbusan","TPRS","region",3.10215725059615,0.115614671012208,NA,5.17171717171717,"busan",2.87555665932777,3.32875784186452
"s(timeindex):regionbusan","TPRS","region",3.13993494289742,0.116805026205439,NA,5.76767676767677,"busan",2.9110012983215,3.36886858747333
"s(timeindex):regionbusan","TPRS","region",3.14020991169694,0.120466138663595,NA,6.36363636363636,"busan",2.90410061855968,3.37631920483419
"s(timeindex):regionbusan","TPRS","region",3.10313241694754,0.122043355149465,NA,6.95959595959596,"busan",2.86393183630216,3.34233299759292
"s(timeindex):regionbusan","TPRS","region",3.03149621025088,0.120190126569369,NA,7.55555555555556,"busan",2.79592789087761,3.26706452962416
"s(timeindex):regionbusan","TPRS","region",2.9308163375747,0.117910589228349,NA,8.15151515151515,"busan",2.69971582929124,3.16191684585816
"s(timeindex):regionbusan","TPRS","region",2.8076290546362,0.11800657118616,NA,8.74747474747475,"busan",2.57634042517226,3.03891768410013
"s(timeindex):regionbusan","TPRS","region",2.66876944056106,0.120014883051251,NA,9.34343434343434,"busan",2.43354459217182,2.9039942889503
"s(timeindex):regionbusan","TPRS","region",2.51957576206643,0.121101875544004,NA,9.93939393939394,"busan",2.28222044753993,2.75693107659293
"s(timeindex):regionbusan","TPRS","region",2.36360243672035,0.119613446655125,NA,10.5353535353535,"busan",2.12916438920961,2.5980404842311
"s(timeindex):regionbusan","TPRS","region",2.20152914940669,0.117381617635927,NA,11.1313131313131,"busan",1.97146540639322,2.43159289242016
"s(timeindex):regionbusan","TPRS","region",2.03235544197383,0.11701478150598,NA,11.7272727272727,"busan",1.80301068456328,2.26170019938437
"s(timeindex):regionbusan","TPRS","region",1.85360032376507,0.119108433973732,NA,12.3232323232323,"busan",1.62015208292159,2.08704856460855
